859/549 _1.56
7+507 _514
595-668 _-73
999/806 _1.24
574-86 _488
60-851 _-791
974+161 _1135
630*638 _401940
722*391 _282302
2*427 _854
596-34 _562
469/80 _5.86
775/155 _5.0
650+526 _1176
21+556 _577
950*707 _671650
409*341 _139469
898/51 _17.61
769-854 _-85
769+218 _987
422*500 _211000
256/952 _0.27
970-727 _243
209/161 _1.3
572+470 _1042
170/431 _0.39
946+57 _1003
322-416 _-94
825/785 _1.05
774-905 _-131
549/142 _3.87
511-913 _-402
768/568 _1.35
500+714 _1214
230*985 _226550
76-675 _-599
97-474 _-377
513-331 _182
161*257 _41377
741/312 _2.38
728*557 _405496
537*896 _481152
23*397 _9131
151+243 _394
467-801 _-334
131-84 _47
708/238 _2.97
762+650 _1412
648-920 _-272
698*474 _330852
699*589 _411711
572/83 _6.89
963-824 _139
71+67 _138
900/694 _1.3
570+749 _1319
653*70 _45710
71*934 _66314
708+57 _765
327+482 _809
440*164 _72160
686+259 _945
817*904 _738568
639+112 _751
749+249 _998
796+405 _1201
192/868 _0.22
786+217 _1003
165/451 _0.37
406+187 _593
228/690 _0.33
266-796 _-530
487-855 _-368
706/31 _22.77
140*356 _49840
650/654 _0.99
697-243 _454
978*77 _75306
711/160 _4.44
617+613 _1230
243+106 _349
389-855 _-466
808*296 _239168
87-611 _-524
976+232 _1208
420+652 _1072
911*253 _230483
195/481 _0.41
517*419 _216623
72/308 _0.23
596/571 _1.04
645/657 _0.98
718*675 _484650
182*308 _56056
581*421 _244601
501-275 _226
929*966 _897414
256/985 _0.26
395+441 _836
506+264 _770
463*575 _266225
809/538 _1.5
458/776 _0.59
508-115 _393
900-537 _363
506+704 _1210
478*426 _203628
125/49 _2.55
145/804 _0.18
37*190 _7030
856+746 _1602
972*803 _780516
810*120 _97200
247/855 _0.29
321+128 _449
827+720 _1547
3/102 _0.03
738*95 _70110
732*891 _652212
548/703 _0.78
965/934 _1.03
562+478 _1040
407+838 _1245
851-730 _121
975/272 _3.58
140*55 _7700
620-639 _-19
285*731 _208335
759*444 _336996
58/949 _0.06
860+338 _1198
649+194 _843
61/759 _0.08
502-326 _176
49-651 _-602
261*398 _103878
430-297 _133
282/823 _0.34
805*49 _39445
348+430 _778
284+211 _495
799-542 _257
439-869 _-430
434+981 _1415
943*53 _49979
139/585 _0.24
267-928 _-661
225-630 _-405
451*281 _126731
882-665 _217
946-272 _674
430+422 _852
101*720 _72720
476*683 _325108
138+581 _719
821*62 _50902
492-629 _-137
71*924 _65604
126*851 _107226
585-486 _99
469+932 _1401
806+54 _860
62/822 _0.08
521*478 _249038
689/657 _1.05
415*245 _101675
896/880 _1.02
507*852 _431964
341*504 _171864
146*817 _119282
588+849 _1437
921-241 _680
51/87 _0.59
71/940 _0.08
192+359 _551
831+105 _936
805-735 _70
806*77 _62062
326*543 _177018
862-435 _427
653*730 _476690
628*549 _344772
306+918 _1224
495*421 _208395
522-697 _-175
767-147 _620
116*534 _61944
338*841 _284258
954*486 _463644
1000-225 _775
333-530 _-197
107/827 _0.13
700*843 _590100
23+148 _171
485/617 _0.79
952-62 _890
887/201 _4.41
92/602 _0.15
281+825 _1106
443+800 _1243
348+124 _472
863*687 _592881
655/205 _3.2
183+807 _990
466/723 _0.64
999/405 _2.47
412-358 _54
361+903 _1264
558-716 _-158
611/650 _0.94
252*560 _141120
584/539 _1.08
194+698 _892
725/279 _2.6
278/626 _0.44
287-216 _71
476*458 _218008
232+675 _907
59+780 _839
571/821 _0.7
180/285 _0.63
963-119 _844
231-758 _-527
429-518 _-89
411/711 _0.58
175-520 _-345
3+552 _555
150-495 _-345
367/780 _0.47
315+596 _911
469/180 _2.61
157+755 _912
844-853 _-9
161+773 _934
81+358 _439
108/727 _0.15
16+714 _730
662*204 _135048
159/239 _0.67
746+786 _1532
966+87 _1053
146*151 _22046
198*984 _194832
275*367 _100925
641/617 _1.04
335-552 _-217
434+136 _570
969+445 _1414
120*314 _37680
459+975 _1434
486*341 _165726
335-761 _-426
937-714 _223
11-123 _-112
177+570 _747
280-994 _-714
145*158 _22910
285-233 _52
953+679 _1632
345-790 _-445
782-717 _65
842+346 _1188
847*103 _87241
816/441 _1.85
678/627 _1.08
473*476 _225148
371*250 _92750
20*802 _16040
696*392 _272832
677+52 _729
18*97 _1746
254+806 _1060
346-256 _90
260*244 _63440
653+471 _1124
725-623 _102
543*888 _482184
482*925 _445850
798/333 _2.4
23*20 _460
483/92 _5.25
603+598 _1201
837+337 _1174
617+473 _1090
977/48 _20.35
862-886 _-24
87+511 _598
973-44 _929
429-430 _-1
12-208 _-196
678-745 _-67
202/876 _0.23
7+519 _526
698-412 _286
920-226 _694
267/58 _4.6
939+331 _1270
363/620 _0.59
887+978 _1865
117+336 _453
876+128 _1004
297-950 _-653
517+233 _750
147*383 _56301
134-45 _89
60/318 _0.19
943+410 _1353
981+528 _1509
785-308 _477
671+29 _700
379+270 _649
58/970 _0.06
654/162 _4.04
654*704 _460416
726/156 _4.65
415+493 _908
388*669 _259572
573-41 _532
20*561 _11220
62/116 _0.53
846*578 _488988
919-861 _58
948*301 _285348
631+946 _1577
923+367 _1290
537+989 _1526
897-960 _-63
448/439 _1.02
265-439 _-174
130-297 _-167
459-935 _-476
640*890 _569600
574*313 _179662
386*125 _48250
528-453 _75
901*297 _267597
475-687 _-212
902-289 _613
124*874 _108376
400/761 _0.53
158-65 _93
961-966 _-5
724+320 _1044
559-992 _-433
411-798 _-387
833/607 _1.37
790-129 _661
255-777 _-522
769*464 _356816
285*128 _36480
92/86 _1.07
239-29 _210
829/735 _1.13
817-40 _777
929*905 _840745
682+455 _1137
404+568 _972
148-988 _-840
821-864 _-43
253*743 _187979
759-688 _71
446+408 _854
350*792 _277200
290+903 _1193
991-732 _259
752+17 _769
480+396 _876
204*852 _173808
696-587 _109
53*640 _33920
934/674 _1.39
676-252 _424
830+358 _1188
794/509 _1.56
806*443 _357058
29*672 _19488
148/844 _0.18
625/681 _0.92
664*329 _218456
446/81 _5.51
268+157 _425
193-196 _-3
763-795 _-32
364/902 _0.4
567/999 _0.57
811*343 _278173
829*909 _753561
434+256 _690
168/891 _0.19
131/245 _0.53
373+103 _476
175/318 _0.55
888+700 _1588
816+755 _1571
24+728 _752
448-824 _-376
571*244 _139324
815*477 _388755
175*192 _33600
752+393 _1145
927/457 _2.03
804*854 _686616
301*788 _237188
286*945 _270270
777*441 _342657
421+680 _1101
676*168 _113568
524+28 _552
676-173 _503
40*464 _18560
268-680 _-412
785*529 _415265
429-647 _-218
521-954 _-433
922+773 _1695
703/558 _1.26
137-651 _-514
583+913 _1496
935*835 _780725
60+725 _785
359/815 _0.44
30-480 _-450
469+787 _1256
841-87 _754
686*849 _582414
219-125 _94
426+898 _1324
410*293 _120130
336*816 _274176
621-231 _390
274-845 _-571
9/588 _0.02
246*485 _119310
469/946 _0.5
137*256 _35072
668*805 _537740
98-930 _-832
463+14 _477
309*695 _214755
651-121 _530
193+923 _1116
35*946 _33110
19-551 _-532
720+782 _1502
242-857 _-615
874-309 _565
338+987 _1325
466-83 _383
426/549 _0.78
841/865 _0.97
293/657 _0.45
309-678 _-369
316-626 _-310
369-977 _-608
842-572 _270
314/821 _0.38
601-491 _110
610/759 _0.8
839/101 _8.31
906/623 _1.45
74+961 _1035
550-974 _-424
905-629 _276
703+507 _1210
52/937 _0.06
427*353 _150731
593*814 _482702
256+141 _397
483*451 _217833
209+263 _472
321-895 _-574
470-123 _347
378-739 _-361
574/139 _4.13
778+794 _1572
600+988 _1588
482/263 _1.83
253*557 _140921
694-766 _-72
409/930 _0.44
474*735 _348390
373-853 _-480
670/871 _0.77
275+240 _515
775+431 _1206
160/171 _0.94
149/690 _0.22
217+256 _473
853*475 _405175
648/119 _5.45
344-289 _55
385*769 _296065
342-1 _341
774-717 _57
105-880 _-775
72/815 _0.09
296+887 _1183
688*739 _508432
556-451 _105
852-561 _291
234+575 _809
75-895 _-820
347*449 _155803
821*149 _122329
654-871 _-217
79+261 _340
788-139 _649
34+687 _721
744/413 _1.8
384-942 _-558
920*141 _129720
395*590 _233050
157-408 _-251
564/408 _1.38
619*827 _511913
691+104 _795
609/219 _2.78
749/144 _5.2
490/980 _0.5
614*671 _411994
253-271 _-18
427/973 _0.44
641*48 _30768
302/93 _3.25
85*559 _47515
635-231 _404
464*551 _255664
236-735 _-499
177+924 _1101
952-657 _295
96/511 _0.19
914/552 _1.66
862+405 _1267
437+674 _1111
655-473 _182
170+236 _406
942*326 _307092
763+992 _1755
309-635 _-326
863+421 _1284
30+21 _51
368*764 _281152
403+258 _661
59/57 _1.04
941-783 _158
29-835 _-806
591+963 _1554
527-611 _-84
821-159 _662
299-537 _-238
460+218 _678
890/898 _0.99
946/364 _2.6
365+16 _381
997/418 _2.39
996+854 _1850
472*883 _416776
411-726 _-315
73+546 _619
628/881 _0.71
936+403 _1339
815/220 _3.7
480-838 _-358
716*761 _544876
398+790 _1188
225+581 _806
57/207 _0.28
759/124 _6.12
547/314 _1.74
26*802 _20852
225*837 _188325
372*752 _279744
269/756 _0.36
350/892 _0.39
359/258 _1.39
801/622 _1.29
740-775 _-35
642*521 _334482
796*333 _265068
401*931 _373331
917/294 _3.12
256/419 _0.61
191+558 _749
253/921 _0.27
784*340 _266560
980*653 _639940
55/6 _9.17
378-350 _28
797/778 _1.02
778*373 _290194
179-246 _-67
728+291 _1019
493+983 _1476
214/876 _0.24
558*425 _237150
477/688 _0.69
778-781 _-3
489/310 _1.58
965/534 _1.81
84+521 _605
989-437 _552
380*892 _338960
612*877 _536724
751*464 _348464
830/991 _0.84
557*491 _273487
963*430 _414090
43*683 _29369
636/897 _0.71
889/484 _1.84
370+410 _780
249+508 _757
500/594 _0.84
497*782 _388654
257*735 _188895
979+232 _1211
297+12 _309
934*624 _582816
262+842 _1104
385*484 _186340
768/518 _1.48
943*167 _157481
638*96 _61248
210-593 _-383
771/485 _1.59
737-358 _379
457-820 _-363
776+303 _1079
804*338 _271752
165*131 _21615
593-562 _31
340+922 _1262
763/109 _7.0
59/903 _0.07
306*882 _269892
355*899 _319145
614/384 _1.6
586+259 _845
431/52 _8.29
333-498 _-165
821/24 _34.21
305/996 _0.31
820/47 _17.45
81*129 _10449
739*85 _62815
918/496 _1.85
608*199 _120992
403*222 _89466
778/993 _0.78
566+285 _851
786*362 _284532
49*275 _13475
263*998 _262474
568/615 _0.92
312*512 _159744
643/902 _0.71
693-780 _-87
509*522 _265698
868-965 _-97
934*897 _837798
961+335 _1296
879/477 _1.84
6*608 _3648
795+569 _1364
255/402 _0.63
119-956 _-837
466-972 _-506
769*582 _447558
172-565 _-393
513*482 _247266
470/381 _1.23
781*69 _53889
429/744 _0.58
835/567 _1.47
364+430 _794
780-908 _-128
866/130 _6.66
322*681 _219282
34-254 _-220
437*183 _79971
524-498 _26
867+329 _1196
560/469 _1.19
144/962 _0.15
360+279 _639
8*914 _7312
103+862 _965
795/457 _1.74
267-33 _234
32-496 _-464
842-606 _236
227/497 _0.46
282/832 _0.34
936*320 _299520
736-374 _362
961+769 _1730
787*428 _336836
195-460 _-265
458-322 _136
398/954 _0.42
324*339 _109836
547*655 _358285
669+348 _1017
397*39 _15483
577+24 _601
807/515 _1.57
620-883 _-263
314-188 _126
312*103 _32136
685-555 _130
230-299 _-69
325*50 _16250
284*217 _61628
383-22 _361
805*284 _228620
193*357 _68901
379-244 _135
246/247 _1.0
567+476 _1043
610-255 _355
624*949 _592176
926+84 _1010
732/249 _2.94
412/73 _5.64
893-866 _27
149+632 _781
381*173 _65913
373*937 _349501
34-167 _-133
938-327 _611
481/435 _1.11
813*573 _465849
685-121 _564
429/102 _4.21
304/815 _0.37
126-427 _-301
338+437 _775
971-795 _176
705-413 _292
313-552 _-239
824/965 _0.85
954*183 _174582
641+916 _1557
855/532 _1.61
581/979 _0.59
673/975 _0.69
474/253 _1.87
66/571 _0.12
931+328 _1259
942*985 _927870
477-635 _-158
800+363 _1163
757*105 _79485
85*551 _46835
539-193 _346
715*479 _342485
857+720 _1577
152-156 _-4
262+746 _1008
259+83 _342
319-146 _173
652-402 _250
73-725 _-652
146+742 _888
617/761 _0.81
546/800 _0.68
8*104 _832
504*532 _268128
370+253 _623
13+421 _434
224-410 _-186
861/815 _1.06
307-449 _-142
917*354 _324618
716/687 _1.04
285-179 _106
495+210 _705
299/222 _1.35
254/911 _0.28
830*801 _664830
456/117 _3.9
22-479 _-457
948-95 _853
628/459 _1.37
775*760 _589000
406-721 _-315
120-45 _75
530/244 _2.17
686+240 _926
317+503 _820
250-169 _81
646+158 _804
826/759 _1.09
358-417 _-59
718-301 _417
327*775 _253425
513+653 _1166
595*146 _86870
391/858 _0.46
628-45 _583
511/189 _2.7
64*839 _53696
574*130 _74620
749+424 _1173
981*412 _404172
379/576 _0.66
731*71 _51901
595-306 _289
674+979 _1653
660/481 _1.37
199*650 _129350
17/736 _0.02
110/127 _0.87
292+838 _1130
936/622 _1.5
903/46 _19.63
266/126 _2.11
956+32 _988
550+834 _1384
96-488 _-392
20-707 _-687
34+68 _102
298+150 _448
668/445 _1.5
655+161 _816
472/565 _0.84
823-677 _146
717*446 _319782
757*425 _321725
848+153 _1001
718/78 _9.21
956+943 _1899
315*133 _41895
559-699 _-140
417/189 _2.21
788+91 _879
860/4 _215.0
830*469 _389270
440+596 _1036
194+645 _839
432*561 _242352
513/151 _3.4
630-902 _-272
496+199 _695
138-625 _-487
131*885 _115935
500-496 _4
495*405 _200475
841+934 _1775
545/715 _0.76
817-657 _160
401/403 _1.0
311-478 _-167
844-641 _203
451/72 _6.26
725-891 _-166
505*653 _329765
659*156 _102804
756/744 _1.02
49+101 _150
517-165 _352
543/784 _0.69
534+530 _1064
749*804 _602196
38+973 _1011
754+878 _1632
888/289 _3.07
624+53 _677
606*440 _266640
873*953 _831969
306/977 _0.31
535*436 _233260
503-487 _16
623-343 _280
229+746 _975
61*293 _17873
614+112 _726
702*45 _31590
418-874 _-456
548-145 _403
784/300 _2.61
404+564 _968
287-809 _-522
431-488 _-57
256+364 _620
518*775 _401450
291+898 _1189
467+809 _1276
666+370 _1036
886+706 _1592
349/910 _0.38
752/23 _32.7
315-178 _137
16-592 _-576
310+215 _525
2*456 _912
298/930 _0.32
619-988 _-369
249/17 _14.65
198+913 _1111
495+791 _1286
923+115 _1038
857/291 _2.95
706-994 _-288
303/495 _0.61
863-18 _845
353-465 _-112
971/927 _1.05
184*299 _55016
192+553 _745
124-853 _-729
53/895 _0.06
653*492 _321276
791-106 _685
850-266 _584
968/122 _7.93
910-951 _-41
469*431 _202139
24/215 _0.11
458*928 _425024
631-452 _179
426*638 _271788
501*67 _33567
374+855 _1229
781*872 _681032
815*173 _140995
440*415 _182600
311*219 _68109
775-252 _523
460*231 _106260
653/875 _0.75
618*934 _577212
584*610 _356240
747-590 _157
459+176 _635
287/293 _0.98
301+987 _1288
380-295 _85
730*732 _534360
413+417 _830
420/885 _0.47
634/549 _1.15
50*48 _2400
173+494 _667
312*215 _67080
64*375 _24000
224+729 _953
527+850 _1377
796+149 _945
447*695 _310665
910*387 _352170
668/584 _1.14
326*608 _198208
62/424 _0.15
162-169 _-7
304/449 _0.68
987*878 _866586
921-124 _797
193+411 _604
362+727 _1089
476+245 _721
5/347 _0.01
850-276 _574
734*826 _606284
341+469 _810
743+401 _1144
106*114 _12084
559*563 _314717
377+185 _562
544-498 _46
882/994 _0.89
133/996 _0.13
591/700 _0.84
394-298 _96
532+278 _810
446/588 _0.76
430/216 _1.99
829/24 _34.54
356/436 _0.82
688-514 _174
70/61 _1.15
201/81 _2.48
461-970 _-509
76/613 _0.12
204-596 _-392
346+965 _1311
100/705 _0.14
23*105 _2415
945-698 _247
970*807 _782790
841-127 _714
77*395 _30415
743-793 _-50
618-687 _-69
627-676 _-49
214+321 _535
909/173 _5.25
586-345 _241
631*955 _602605
402*172 _69144
70-743 _-673
814*91 _74074
86+704 _790
781*8 _6248
286/831 _0.34
772+98 _870
991*840 _832440
30-246 _-216
451/764 _0.59
583-561 _22
972/958 _1.01
398+148 _546
100/201 _0.5
655*315 _206325
7*246 _1722
174*333 _57942
520+330 _850
854/400 _2.13
90-437 _-347
570+644 _1214
716-361 _355
601+797 _1398
146-243 _-97
855/602 _1.42
691+633 _1324
401+341 _742
257+651 _908
704*5 _3520
675/527 _1.28
673-621 _52
63+750 _813
303-248 _55
221+523 _744
137+291 _428
89+691 _780
152-552 _-400
338/326 _1.04
971-714 _257
299*174 _52026
964/464 _2.08
467/64 _7.3
861+286 _1147
840*867 _728280
547/710 _0.77
391*290 _113390
757+983 _1740
194+223 _417
646-818 _-172
495-72 _423
425+247 _672
886/922 _0.96
853/212 _4.02
608/602 _1.01
48+354 _402
596-484 _112
545*433 _235985
431*682 _293942
677/733 _0.92
401-248 _153
20-296 _-276
528*184 _97152
175-898 _-723
777+478 _1255
786+753 _1539
696-191 _505
59-583 _-524
283/313 _0.9
64-481 _-417
970-311 _659
362-257 _105
460-321 _139
396/811 _0.49
255+916 _1171
743+306 _1049
679/211 _3.22
229+91 _320
11*609 _6699
261/282 _0.93
421+214 _635
486/865 _0.56
659/560 _1.18
315-283 _32
454/583 _0.78
207/779 _0.27
888/240 _3.7
47/119 _0.39
913-778 _135
838+105 _943
111+959 _1070
198*441 _87318
809+557 _1366
539*588 _316932
557-97 _460
477*326 _155502
738+785 _1523
877+267 _1144
851*908 _772708
308+278 _586
40*66 _2640
786/118 _6.66
78-324 _-246
546+271 _817
259+990 _1249
865-598 _267
244-835 _-591
97/286 _0.34
972*31 _30132
748/254 _2.94
118*544 _64192
874*313 _273562
704+365 _1069
765/121 _6.32
83-376 _-293
9/57 _0.16
437-719 _-282
382+110 _492
955*266 _254030
575*75 _43125
989+384 _1373
955/953 _1.0
699*337 _235563
963*595 _572985
239/789 _0.3
644/6 _107.33
499/198 _2.52
826-846 _-20
119/750 _0.16
468/309 _1.51
974/584 _1.67
616*317 _195272
772-714 _58
786/818 _0.96
802+692 _1494
984/107 _9.2
404*739 _298556
174-996 _-822
347/379 _0.92
648/373 _1.74
251*191 _47941
755-405 _350
547+809 _1356
497+557 _1054
928+580 _1508
420-601 _-181
745*480 _357600
539+898 _1437
276*539 _148764
745*294 _219030
819-754 _65
486*743 _361098
602+583 _1185
684/109 _6.28
889/775 _1.15
880/804 _1.09
557*525 _292425
637+479 _1116
530/66 _8.03
12+524 _536
680-271 _409
939-411 _528
574-406 _168
823+455 _1278
570-622 _-52
697/356 _1.96
517*484 _250228
862+683 _1545
245-304 _-59
679*646 _438634
213*900 _191700
895*347 _310565
749*650 _486850
91*538 _48958
263-292 _-29
463*628 _290764
110+693 _803
66/421 _0.16
442*495 _218790
711+342 _1053
5-71 _-66
356+169 _525
62-226 _-164
964/847 _1.14
23/173 _0.13
990/264 _3.75
891+239 _1130
806*712 _573872
819-314 _505
70/698 _0.1
13*432 _5616
705+908 _1613
543*478 _259554
924+483 _1407
126+967 _1093
521-11 _510
684+408 _1092
15+993 _1008
220*594 _130680
514/563 _0.91
299-356 _-57
974/189 _5.15
661*875 _578375
77*485 _37345
292-267 _25
295/734 _0.4
500+977 _1477
235/17 _13.82
764-883 _-119
919*552 _507288
82-852 _-770
829*901 _746929
865/798 _1.08
328*198 _64944
861/518 _1.66
979/143 _6.85
764/891 _0.86
829-841 _-12
882-280 _602
642+248 _890
794+970 _1764
699-666 _33
660/432 _1.53
804/714 _1.13
297-940 _-643
230*789 _181470
154-471 _-317
678+227 _905
198+747 _945
764+54 _818
424/536 _0.79
438/19 _23.05
996+870 _1866
482*438 _211116
678-98 _580
620*707 _438340
698+898 _1596
802-261 _541
130/872 _0.15
797*444 _353868
913+113 _1026
837*604 _505548
309-212 _97
440+735 _1175
308*282 _86856
556/823 _0.68
744/162 _4.59
646/463 _1.4
683*421 _287543
677/15 _45.13
188/76 _2.47
226*379 _85654
140-951 _-811
454*207 _93978
517-788 _-271
525/542 _0.97
909*943 _857187
480-596 _-116
817-114 _703
939*163 _153057
964/17 _56.71
44*334 _14696
437+400 _837
328-723 _-395
492*385 _189420
166/23 _7.22
767-657 _110
516/585 _0.88
219+869 _1088
774/77 _10.05
657-396 _261
912/224 _4.07
509*657 _334413
802-498 _304
131-910 _-779
636-832 _-196
719+587 _1306
209*714 _149226
875-794 _81
183*420 _76860
2/931 _0.0
325*581 _188825
727*103 _74881
478*839 _401042
816*547 _446352
537+626 _1163
457/103 _4.44
104+442 _546
871+544 _1415
684+911 _1595
88-714 _-626
229-901 _-672
886-323 _563
763*852 _650076
224*413 _92512
4+151 _155
544*391 _212704
886+924 _1810
812-909 _-97
103-323 _-220
156/819 _0.19
261-248 _13
107/532 _0.2
256+416 _672
387/498 _0.78
334-537 _-203
946*161 _152306
815*413 _336595
712/671 _1.06
355+663 _1018
739-515 _224
860+892 _1752
157*104 _16328
686/300 _2.29
595*705 _419475
163/792 _0.21
929+570 _1499
841/700 _1.2
130*738 _95940
591+54 _645
810/502 _1.61
580+127 _707
447+696 _1143
383+587 _970
497-855 _-358
687*292 _200604
312/739 _0.42
560*482 _269920
151/455 _0.33
767-491 _276
379*316 _119764
734*941 _690694
666*830 _552780
201-929 _-728
788/775 _1.02
511/444 _1.15
183*116 _21228
429+523 _952
620*391 _242420
80*113 _9040
313-482 _-169
303-106 _197
225+25 _250
676+664 _1340
714+999 _1713
377*963 _363051
331-311 _20
408/759 _0.54
111/544 _0.2
131-794 _-663
712*990 _704880
936+923 _1859
693*590 _408870
71*374 _26554
43-199 _-156
91+562 _653
185/509 _0.36
338*349 _117962
567/703 _0.81
445+628 _1073
189+215 _404
882/736 _1.2
42*646 _27132
179+757 _936
84-37 _47
879*798 _701442
847*999 _846153
741/979 _0.76
739-282 _457
32*599 _19168
271+188 _459
533*573 _305409
9/896 _0.01
470*371 _174370
937+885 _1822
846*334 _282564
281+755 _1036
836*380 _317680
27/383 _0.07
73/421 _0.17
785/490 _1.6
4/890 _0.0
475/795 _0.6
12*911 _10932
187+312 _499
643*923 _593489
387+551 _938
278-376 _-98
837/818 _1.02
86-993 _-907
958/162 _5.91
985/189 _5.21
526*315 _165690
964+449 _1413
54-968 _-914
433/257 _1.68
39+774 _813
496+553 _1049
335-521 _-186
365/645 _0.57
223*120 _26760
883*446 _393818
432/320 _1.35
16-989 _-973
992/285 _3.48
660-134 _526
908*581 _527548
11+498 _509
619*942 _583098
672-638 _34
164/759 _0.22
638/873 _0.73
605*913 _552365
847*263 _222761
151-295 _-144
736-633 _103
332*784 _260288
313-629 _-316
966+657 _1623
716/407 _1.76
581+162 _743
641-970 _-329
534+582 _1116
884*710 _627640
604*517 _312268
925+853 _1778
799+150 _949
643/976 _0.66
166-763 _-597
971+407 _1378
64+278 _342
911-697 _214
360+874 _1234
499/432 _1.16
885+422 _1307
224+555 _779
178-88 _90
830-363 _467
502+938 _1440
10+392 _402
462+199 _661
594/468 _1.27
859/880 _0.98
462-257 _205
148*237 _35076
210+655 _865
739/403 _1.83
656+929 _1585
327*95 _31065
967+934 _1901
851+158 _1009
174/798 _0.22
949-911 _38
983+922 _1905
579+569 _1148
402-781 _-379
492-182 _310
737/577 _1.28
690*617 _425730
318/221 _1.44
991*27 _26757
436+198 _634
684-937 _-253
499/744 _0.67
16/39 _0.41
613-834 _-221
684/47 _14.55
759/490 _1.55
173*341 _58993
398*735 _292530
654*692 _452568
714-204 _510
629/231 _2.72
428*115 _49220
777-805 _-28
526*549 _288774
640/350 _1.83
434/660 _0.66
58*678 _39324
148/775 _0.19
361*424 _153064
57-493 _-436
700/573 _1.22
398/435 _0.91
848-854 _-6
492+549 _1041
480-189 _291
519*523 _271437
150+815 _965
232*917 _212744
596+300 _896
166*599 _99434
201-797 _-596
47-257 _-210
338-830 _-492
529-133 _396
878/665 _1.32
11*675 _7425
11/554 _0.02
837/19 _44.05
30+535 _565
544+420 _964
71/338 _0.21
283+195 _478
364*935 _340340
435*703 _305805
309/423 _0.73
556-505 _51
846*633 _535518
572+683 _1255
704/967 _0.73
178-717 _-539
728-165 _563
440-290 _150
176+203 _379
527-275 _252
662+264 _926
941-20 _921
124-158 _-34
619/761 _0.81
349/956 _0.37
297*959 _284823
84-581 _-497
186+600 _786
348-5 _343
116+619 _735
560*149 _83440
543+469 _1012
98+263 _361
784+1000 _1784
692*800 _553600
821/870 _0.94
996*269 _267924
79+458 _537
612/153 _4.0
931+761 _1692
930*863 _802590
712-506 _206
204/680 _0.3
175*759 _132825
587-908 _-321
411/207 _1.99
415-293 _122
378*405 _153090
953-840 _113
691/716 _0.97
803-4 _799
362/948 _0.38
603/272 _2.22
229/474 _0.48
459/666 _0.69
653*866 _565498
368-743 _-375
554*180 _99720
190-546 _-356
257*40 _10280
271*870 _235770
430-811 _-381
133/246 _0.54
767+747 _1514
197/949 _0.21
882-925 _-43
518/794 _0.65
766-668 _98
242+275 _517
307+831 _1138
568/332 _1.71
845/974 _0.87
203*758 _153874
81+512 _593
587+606 _1193
617+739 _1356
404-854 _-450
111*622 _69042
622+693 _1315
132/601 _0.22
51-657 _-606
873*273 _238329
984/100 _9.84
447-342 _105
976-477 _499
224*333 _74592
156*1 _156
244*847 _206668
194+263 _457
970-501 _469
241+846 _1087
898*870 _781260
200/586 _0.34
681-59 _622
591*766 _452706
637-879 _-242
592/952 _0.62
25/316 _0.08
398+202 _600
989*802 _793178
973+543 _1516
770-426 _344
264-452 _-188
756-95 _661
789/317 _2.49
457/57 _8.02
869-672 _197
842/715 _1.18
526/971 _0.54
100+721 _821
896/896 _1.0
694/585 _1.19
829/771 _1.08
16*860 _13760
735+257 _992
127/45 _2.82
80*572 _45760
530*278 _147340
457/523 _0.87
137*175 _23975
425+462 _887
382-189 _193
712+50 _762
323*290 _93670
663/44 _15.07
37+742 _779
695/629 _1.1
908+867 _1775
855*480 _410400
165/929 _0.18
718*456 _327408
312/526 _0.59
832*388 _322816
745-209 _536
215-78 _137
782+845 _1627
104/943 _0.11
268-421 _-153
250+712 _962
368-596 _-228
42*910 _38220
979+441 _1420
201/701 _0.29
497+27 _524
229*117 _26793
58+716 _774
718/461 _1.56
578/751 _0.77
515+397 _912
806*521 _419926
84/75 _1.12
905-53 _852
407-249 _158
875/856 _1.02
159-507 _-348
886*827 _732722
207/982 _0.21
539-770 _-231
384-705 _-321
562-448 _114
434-89 _345
278-224 _54
788+313 _1101
936+528 _1464
694+422 _1116
662+456 _1118
967-745 _222
482-441 _41
572-95 _477
124*201 _24924
840*556 _467040
550+306 _856
508-121 _387
188+158 _346
542-306 _236
325+958 _1283
339*866 _293574
45+51 _96
979-579 _400
322+89 _411
745*878 _654110
767-267 _500
923*720 _664560
673/12 _56.08
683+709 _1392
141/852 _0.17
569+573 _1142
115-303 _-188
518+201 _719
854+547 _1401
856-134 _722
709/113 _6.27
253*752 _190256
91/704 _0.13
677/668 _1.01
299/308 _0.97
875*1000 _875000
553*785 _434105
830-276 _554
318-531 _-213
360*309 _111240
657*263 _172791
205/124 _1.65
494/663 _0.75
93*136 _12648
214*328 _70192
732-561 _171
976/188 _5.19
866*50 _43300
933/486 _1.92
750+560 _1310
19+694 _713
949+428 _1377
935+997 _1932
62+975 _1037
12/734 _0.02
593/965 _0.61
698+241 _939
801/41 _19.54
733*965 _707345
339*827 _280353
322-31 _291
927-146 _781
950+651 _1601
893/652 _1.37
372+277 _649
459/497 _0.92
883+128 _1011
534/350 _1.53
709/882 _0.8
562/622 _0.9
431-592 _-161
753-243 _510
235-706 _-471
958+253 _1211
903/651 _1.39
646*356 _229976
270/487 _0.55
684/739 _0.93
704/490 _1.44
848+384 _1232
533/616 _0.87
651-589 _62
846-883 _-37
252+648 _900
219/475 _0.46
990/694 _1.43
662*635 _420370
631*48 _30288
275-762 _-487
204*116 _23664
629-758 _-129
